Player,OPS,HR,BattingAvg,RBI,Position,Team,Salary
Ryan McMahon,0.693,20,0.214,53,3B,Rockies,12000000
Josh Naylor,0.815,20,0.295,92,1B,Diamondbacks,10900000
Isaac Paredes,0.81,20,0.254,53,3B,Astros,6625000
Geraldo Perdomo,0.851,20,0.29,100,SS,Diamondbacks,2550000
Daulton Varsho,0.832,20,0.238,55,OF,Blue Jays,8200000
CJ Abrams,0.748,19,0.257,60,SS,Nationals,780600
Drake Baldwin,0.81,19,0.274,80,C,Braves,760000
Kody Clemens,0.715,19,0.213,52,INF,Phillies,771000
Max Muncy,0.846,19,0.243,67,3B,Dodgers,14250000
Max Muncy,0.638,9,0.214,23,2B,Athletics,760000
Logan O'Hoppe,0.629,19,0.213,43,C,Angels,790000
Gavin Sheets,0.746,19,0.252,71,DH,Padres,1600000
Anthony Volpe,0.663,19,0.212,72,SS,Yankees,879000
Brett Baty,0.748,18,0.254,50,3B,Mets,774000
Bo Bichette,0.84,18,0.311,94,SS,Blue Jays,17583333
Alex Bregman,0.822,18,0.273,62,3B,Red Sox,25930874
Alec Burleson,0.802,18,0.29,69,OF,Cardinals,778650
Nathaniel Lowe,0.688,18,0.228,84,1B,Nationals,10300000
Brice Turang,0.794,18,0.288,81,2B,Brewers,777100
Harrison Bader,0.796,17,0.277,54,OF,Twins,4750000
Nick Castellanos,0.694,17,0.25,72,OF,Phillies,20000000
William Contreras,0.754,17,0.26,76,C,Brewers,6000000
Gunnar Henderson,0.787,17,0.274,68,SS,Orioles,782300
Jackson Holliday,0.689,17,0.242,55,2B,Orioles,764800
Carson Kelly,0.761,17,0.249,50,C,Cubs,5000000
Cedric Mullins,0.69,17,0.216,59,OF,Orioles,8725000
Ryan O'Hearn,0.803,17,0.281,63,1B,Orioles,8000000
Will Smith,0.901,17,0.296,61,C,Dodgers,12432934
Rowdy Tellez,0.719,17,0.228,49,DH,Mariners,1500000
Mark Vientos,0.702,17,0.233,61,3B,Mets,788750
Jordan Westburg,0.77,17,0.265,41,2B,Orioles,772700
Mike Yastrzemski,0.736,17,0.233,46,OF,Giants,9250000
Ozzie Albies,0.671,16,0.24,74,2B,Braves,7000000
Jordan Beck,0.733,16,0.258,53,OF,Rockies,762000
Jake Burger,0.688,16,0.236,53,1B,Rangers,790000
Colton Cowser,0.654,16,0.196,40,OF,Orioles,774500
Jarren Duran,0.774,16,0.256,84,OF,Red Sox,3750000
Wilmer Flores,0.686,16,0.241,71,SS,Giants,3500000
Maikel Garcia,0.8,16,0.286,74,3B,Royals,774750
Brooks Lee,0.655,16,0.236,64,INF,Twins,764450
Jackson Merrill,0.774,16,0.264,67,OF,Padres,809500
Sean Murphy,0.709,16,0.199,45,C,Braves,15000000
Ceddanne Rafaela,0.709,16,0.249,63,OF,Red Sox,1250000
Bryan Reynolds,0.72,16,0.245,73,OF,Pirates,12250000
Austin Riley,0.737,16,0.26,54,3B,Braves,22000000
Gleyber Torres,0.745,16,0.256,74,2B,Tigers,15000000
Miguel Vargas,0.717,16,0.234,60,3B,White Sox,770400
Brenton Doyle,0.65,15,0.233,57,OF,Rockies,765000
Austin Hays,0.768,15,0.266,64,OF,Reds,4000000
Alejandro Kirk,0.769,15,0.282,76,C,Blue Jays,4600000
Otto Lopez,0.673,15,0.246,77,2B,Marlins,778500
Matt McLain,0.643,15,0.22,50,2B,Reds,770000
Marcus Semien,0.669,15,0.23,62,2B,Rangers,26000000
Trea Turner,0.812,15,0.304,69,SS,Phillies,27272727
Jonathan Aranda,0.882,14,0.316,59,DH,Rays,766500
JJ Bleday,0.698,14,0.212,39,OF,Athletics,770000
TJ Friedl,0.742,14,0.261,53,OF,Reds,780000
Nolan Gorman,0.666,14,0.205,46,2B,Cardinals,782900
Danny Jansen,0.72,14,0.215,36,C,Rays,8000000
Josh Jung,0.684,14,0.251,61,3B,Rangers,780500
Bo Naylor,0.661,14,0.195,47,C,Guardians,790300
Jurickson Profar,0.787,14,0.245,43,OF,Braves,12000000
Andrew Vaughn,0.718,14,0.254,65,1B,White Sox,5850000
Carlos Correa,0.734,13,0.276,52,SS,Twins,37333333
Dillon Dingler,0.752,13,0.278,57,C,Tigers,762600
Tommy Edman,0.656,13,0.225,49,2B,Dodgers,8400000
Colt Keith,0.746,13,0.256,45,1B,Tigers,3833333
Royce Lewis,0.671,13,0.237,52,SS,Twins,1625000
Andrew McCutchen,0.7,13,0.239,57,DH,Pirates,5000000
Lars Nootbaar,0.686,13,0.234,48,OF,Cardinals,2950000
Matt Shaw,0.689,13,0.226,44,3B,Cubs,760000
Tyler Stephenson,0.737,13,0.231,50,C,Reds,4925000
Bryson Stott,0.719,13,0.257,66,2B,Phillies,3200000
Jacob Wilson,0.799,13,0.311,63,SS,Athletics,760000
Nolan Arenado,0.666,12,0.237,52,3B,Cardinals,29533909
Victor Caratini,0.728,12,0.259,46,C,Astros,6000000
Michael Conforto,0.638,12,0.199,36,OF,Dodgers,17000000
J.P. Crawford,0.722,12,0.265,58,SS,Mariners,11000000
Sal Frelick,0.756,12,0.288,63,OF,Brewers,771800
Rhys Hoskins,0.748,12,0.237,43,1B,Brewers,18000000
Nathan Lukes,0.73,12,0.255,65,OF,Blue Jays,766800
Zach McKinstry,0.771,12,0.259,49,3B,Tigers,1650000
Jeff McNeil,0.746,12,0.243,54,2B,Mets,15750000
Nolan Schanuel,0.742,12,0.264,53,1B,Angels,780000
Casey Schmitt,0.706,12,0.237,40,INF,Giants,780000
Daniel Schneemann,0.637,12,0.206,41,INF,Guardians,766000
Jorge Soler,0.68,12,0.215,34,DH,Angels,13000000
Francisco Alvarez,0.786,11,0.256,32,C,Mets,795000
Gabriel Arias,0.637,11,0.22,54,2B,Guardians,770200
Brooks Baldwin,0.697,11,0.24,38,SS,White Sox,762625
Xander Bogaerts,0.719,11,0.263,53,SS,Padres,25454545
Alec Bohm,0.74,11,0.287,59,3B,Phillies,7700000
Willi Castro,0.679,11,0.226,33,3B,Twins,6400000
Jake Cronenworth,0.744,11,0.246,59,2B,Padres,11285714
Jonah Heim,0.603,11,0.213,43,C,Rangers,4575000
Kyle Higashioka,0.694,11,0.241,47,C,Rangers,5750000
Spencer Horwitz,0.787,11,0.272,51,1B,Pirates,767500
Steven Kwan,0.704,11,0.272,56,OF,Guardians,4175000
Josh Lowe,0.649,11,0.22,40,OF,Rays,775100
Brandon Marsh,0.785,11,0.28,43,OF,Phillies,3000000
Dylan Moore,0.641,11,0.201,25,OF,Mariners,3908333
Christopher Morel,0.685,11,0.219,33,OF,Rays,771800
Carlos Santana,0.633,11,0.219,54,1B,Guardians,12000000
Davis Schneider,0.797,11,0.234,31,INF,Blue Jays,780000
Edmundo Sosa,0.776,11,0.276,39,INF,Phillies,3000000
Michael Toglia,0.611,11,0.19,32,1B,Rockies,765000
Miguel Andujar,0.822,10,0.318,44,OF,Athletics,3000000
Dylan Crews,0.632,10,0.208,27,OF,Nationals,761800
Brendan Donovan,0.775,10,0.287,50,2B,Cardinals,2850000
Paul Goldschmidt,0.731,10,0.274,45,1B,Yankees,12500000
Tommy Pham,0.7,10,0.245,52,OF,Pirates,4025000
Josh Smith,0.701,10,0.251,35,INF,Rangers,780500
Eli White,0.676,10,0.234,35,INF,Braves,790000
Ernie Clement,0.711,9,0.277,50,3B,Blue Jays,1975000
