Player,OPS,HR,BattingAvg,RBI,Position,Team,Salary
Jake Rogers,0.61,3,0.187,19,C,Tigers,2640000
Donovan Solano,0.628,3,0.247,21,INF,Mariners,3500000
Jack Suwinski,0.534,3,0.147,10,OF,Pirates,785000
Leody Taveras,0.53,3,0.205,17,OF,Rangers,4750000
Taylor Trammell,0.629,3,0.197,12,OF,Astros,765200
Justin Turner,0.602,3,0.219,18,DH,Cubs,6000000
Nacho Alvarez,0.626,2,0.234,15,SS,Braves,770000
Jeimer Candelario,0.411,2,0.113,10,3B,Reds,16000000
Griffin Conine,0.732,2,0.253,8,1B,Marlins,762500
Zach Dezenzo,0.688,2,0.245,10,1B,Astros,763200
Jerar Encarnacion,0.578,2,0.2,7,RHP,Giants,770000
Tyler Freeman,0.715,2,0.281,31,OF,Rockies,775700
Mickey Gasper,0.489,2,0.158,11,INF,Twins,762450
Zack Gelof,0.502,2,0.174,7,2B,Athletics,765000
Eric Haase,0.646,2,0.229,9,C,Brewers,1350000
Jose Herrera,0.544,2,0.187,17,C,Diamondbacks,772200
Jason Heyward,0.494,2,0.176,12,OF,Padres,1000000
Sam Huff,0.599,2,0.208,4,C,Giants,780000
Jarred Kelenic,0.531,2,0.167,2,OF,Braves,2300000
Isiah Kiner-Falefa,0.631,2,0.262,40,SS,Pirates,7500000
DJ LeMahieu,0.674,2,0.266,12,3B,Yankees,15000000
Nick Maton,0.601,2,0.167,4,OF,White Sox,900000
Kevin Newman,0.481,2,0.202,11,SS,Angels,2500000
